82	2017-03-26 15:58:48	"I want to find a specific edition of Virgil's Aeneid: Strassburg: Grüninger,  1502 edited by Sebastian Brant"	"To discuss the image,  and to use it in a lecture and presentation for students"
81	2017-03-26 15:05:37	art	interested
80	2017-03-26 14:19:43	"I want to find a ""Vorschrift"" of Joh. Jakob Roschi,  Bern,  around 1789"	to include it in my teaching and learning materials
79	2017-03-26 11:05:30	Researching personal costume collection	To write an article and finding other existing examples.
78	2017-03-26 09:09:29	i want to find an image of the old castle of dilbeek	general interest
77	2017-03-26 08:04:07	I am tryimg to fond information on Charles Emmanuel Sigismond de Montmorency-Luxembourg.	For an academic paper
76	2017-03-26 03:12:58	17th nad 18th century plug bayonets	Reenactment bayonet projekt
75	2017-03-26 01:14:48	I´m tryng to find some about last name Benedetti	To trace a genealogy
74	2017-03-25 23:58:26	Trees	flyer
73	2017-03-25 23:08:32	I'm looking for pictures of Timpani (Timbales / Pauken) kept in the german museums. In particular to know what kind of Timpani were played in Hamburg at the end of the XIXth century.	To use the proper instrument with a period-instrument orchestra (playing a specific project involving the instruments as used in Hamburg orchestras at the turn of the century)
72	2017-03-25 22:01:46	I am looking for old photographs of Austro-Hungarian fortifications.	To write a book.
71	2017-03-25 21:52:22	Looking for pictures from where my ancestors lived.	Genealogy
70	2017-03-25 21:22:08	"I search for old photographs from Thessaloniki,  Greece"	I am building a collection of ols photographs from Thessaloniki related to its transport systems
69	2017-03-25 21:02:03	I'm just browsing your collections	Funny art blog!
68	2017-03-25 20:02:56	Nothing specific	General interest
67	2017-03-25 19:56:36	looking for numerised books	for a school project
66	2017-03-25 19:20:33	Looking at examples of art made by women.	Following up on #internationalWomensDay
65	2017-03-25 17:58:44	"an old book : Jacques Perret,  Des fortifications... (1602)"	For an article.
64	2017-03-25 15:55:39	Pigments in Prehistoric painting	Master thesis
63	2017-03-25 15:26:02	“Don’t know / nothing specific”	To create a presentation for my student class
62	2017-03-25 14:16:55	I am looking for images of cats in art or culture to post about on my blog - but they must be in the public domain as I am scrupulous about image rights	"I write a blog on the history,  art and culture of pets in order to offer people a friendly way to relate to these concepts"
61	2017-03-25 11:10:18	I am exploring what kinds of public domain artworks are available on your site.	I would like to know what material is available for free commercial purposed what isn't.
60	2017-03-25 08:15:10	I am searching for images of artifacts from the Regional Archaeological Museum Plovdiv.	To get information for an educational program I am working on.
59	2017-03-25 06:29:31	I'm looking for contemporary literature	To learn about history
58	2017-03-25 01:18:37	italian medieval iluminations	for research
57	2017-03-25 01:08:13	I'am trying to explore the world through what is available in Europeana	For general interest
56	2017-03-25 00:01:08	photographs of xix century	general interest
55	2017-03-24 21:39:20	A texto from Porphyry.	For a research on neopltonism
54	2017-03-24 17:56:38	la  mujer en la historia del derecho	para escribir un artículo desde el enfoque de género
